state1,state2,typology,fence,wall,additional_fortification,fortification_description,landmine,bcp,bcp_infrastructure,avdan_2019,hassner_wittenberg_2015,jellissen_gottheil_2013,jones_2012,wikipedia,linnell_et_al_2016
BHR,SAU,3,0,0,0,,0,"26.1835918,50.3260362",2,0,0,0,0,0,0
BIH,HRV,3,0,0,0,,4,"43.611016,16.9730668",1,0,0,0,0,0,0
BIH,MNE,3,0,0,0,,4,"42.712476,18.5476975",2,0,0,0,0,0,0
BIH,SRB,3,0,0,0,,4,"44.406468,19.1237236",2,0,0,0,0,0,0
BLR,LTU,3,0,0,0,,0,"54.542915,25.7013743",2,0,0,0,0,0,1
BLR,LVA,3,0,0,0,,0,"55.717048,26.8759825",1,0,0,0,0,0,1
BLR,POL,5,1,0,0,"2,5m barbed-wire fence",0,"53.122797,23.8955543",2,0,0,0,0,0,1
BLR,RUS,3,0,0,0,,0,"52.442676,31.6078003",1,0,0,0,0,0,0
BLR,UKR,4,1,0,0,meshed wire,0,"52.092812,30.9658693",2,0,0,0,0,0,0
BLZ,GTM,3,0,0,0,,0,"17.05768,-89.1504034",2,0,0,0,0,1,0
BLZ,MEX,3,0,0,0,,0,"18.485962,-88.40145",2,0,0,0,0,0,0
BOL,ARG,3,0,0,0,,0,"-22.096287,-65.5967712",1,0,0,0,0,0,0
BOL,BRA,3,0,0,0,,0,"-19.028456,-57.7096489",2,0,0,0,0,0,0
BOL,CHL,3,0,0,0,,0,"-22.881076,-67.7990555",1,0,0,0,0,0,0
BOL,PER,3,0,0,0,,0,"-16.564079,-69.0365955",1,0,0,0,0,0,0
BOL,PRY,3,0,0,0,,0,"-21.672353,-62.4595118",1,0,0,0,0,0,0
BRA,ARG,3,0,0,0,,0,"-25.579018,-54.5588423",2,0,0,0,0,0,0
BRA,BOL,3,0,0,0,,0,"-19.027843,-57.7082098",2,0,0,0,0,0,0
BRA,COL,3,0,0,0,,0,"-4.219583,-69.9361122",1,0,0,0,0,0,0
BRA,GUY,3,0,0,0,,0,"3.380143,-59.8180794",1,0,0,0,0,0,0
BRA,PER,3,0,0,0,,0,"-10.9333946,-69.5664088",2,0,0,0,0,0,0
BRA,PRY,3,0,0,0,,0,"-25.509566,-54.5987947",2,0,0,0,0,0,0
BRA,SUR,1,0,0,0,,0,,0,0,0,0,0,0,0
BRA,URY,3,0,0,0,,0,"-30.390993,-56.4545768",1,0,0,0,0,0,0
BRA,VEN,3,0,0,0,,0,"4.480333,-61.1502529",2,0,0,0,0,0,0
BRN,MYS,4,1,0,0,,0,"4.5829126,114.0747577",2,0,1,1,1,1,0
BTN,CHN,1,0,0,0,,0,,0,0,0,0,0,0,0
BTN,IND,3,0,0,0,,0,"26.8625909,89.381193",1,0,0,0,0,0,0
BWA,NAM,4,1,0,0,veterinary cordon fence,0,"-22.2808115,19.999279",2,1,0,0,0,0,0
BWA,ZAF,3,0,0,0,,0,"-25.275518,25.7113082",2,0,0,0,0,0,0
BWA,ZMB,3,0,0,0,,0,"-17.7990945,25.2539946",2,0,0,0,0,0,0
BWA,ZWE,5,1,0,0,"barbed-wire, electrification (220v)",0,"-18.5255011,25.6620786",1,1,1,1,1,1,0
CAF,CMR,3,0,0,0,,0,"5.9034792,14.5519389",1,0,0,0,0,0,0
CAF,COD,1,0,0,0,,0,"4.3586053,18.589562",0,0,0,0,0,0,0
CAF,COG,1,0,0,0,,0,"3.4816203,18.5957902",0,0,0,0,0,0,0
CAF,SDN,1,0,0,0,,0,"10.4687056,23.3030264",0,0,0,0,0,0,0
CAF,SSD,1,0,0,0,,0,"5.3973072,27.2331929",0,0,0,0,0,0,0
